ID,Name,Location,Community,Function,Roof Type,Storeys,Building Height,Ground Surface Area
DEBY_LOD2_4958671,DEBYvAAAAABTMs0S,1000,09162000,31001_1000,3100,5,23.519,288.349
DEBY_LOD2_4958673,DEBYvAAAAABTMs2L,1000,09162000,31001_9998,1000,,4.655,62.373
DEBY_LOD2_4958674,DEBYvAAAAABTMs1m,1000,09162000,31001_9998,3200,4,16.272,289.091
DEBY_LOD2_4958675,DEBYvAAAAABTMs4P,1000,09162000,31001_9998,3100,5,21.87,269.236
DEBY_LOD2_4958676,DEBYvAAAAABTMs5n,1000,09162000,31001_9998,3100,3,15.979,315.846
DEBY_LOD2_4958677,DEBYvAAAAABTMs6c,1000,09162000,31001_9998,1000,6,20.574,283.329
DEBY_LOD2_4958680,DEBYvAAAAABTMs9k,1000,09162000,31001_1000,3100,5,21.011,201.372
DEBY_LOD2_4958683,DEBYvAAAAABTMsi3,1000,09162000,31001_9998,3100,6,22.679,161.267
DEBY_LOD2_4958684,DEBYvAAAAABTMsjh,1000,09162000,31001_9998,3100,6,22.745,162.562
DEBY_LOD2_4958685,DEBYvAAAAABTMsiM,1000,09162000,31001_9998,3100,6,22.697,163.281
DEBY_LOD2_4958686,DEBYvAAAAABTMskP,1000,09162000,31001_9998,3100,6,23.824,204.645
DEBY_LOD2_4958687,DEBYvAAAAABTMsnW,1000,09162000,31001_9998,3100,6,23.772,245.854
DEBY_LOD2_4958688,DEBYvAAAAABTMsl9,1000,09162000,31001_9998,3100,5,23.063,195.316
DEBY_LOD2_4958689,DEBYvAAAAABTMspP,1000,09162000,31001_9998,3100,4,19.683,205.035
DEBY_LOD2_4958690,DEBYvAAAAABTMsrM,1000,09162000,31001_9998,3100,5,22.906,241.783
DEBY_LOD2_4958691,DEBYvAAAAABTMsq9,1000,09162000,31001_9998,2100,,5.875,66.233
DEBY_LOD2_4958692,DEBYvAAAAABTMssw,1000,09162000,31001_9998,3100,6,22.234,335.492
DEBY_LOD2_4958693,DEBYvAAAAABTMsvp,1000,09162000,31001_9998,2100,6,21.62,280.901
DEBY_LOD2_4958694,DEBYvAAAAABTMss1,1000,09162000,31001_9998,3100,6,21.67,191.962
DEBY_LOD2_4958695,DEBYvAAAAABTMsxk,1000,09162000,31001_9998,3100,5,21.523,204.718
DEBY_LOD2_4958696,DEBYvAAAAABTMtI6,1000,09162000,31001_9998,3100,4,20.005,153.728
DEBY_LOD2_4958697,DEBYvAAAAABTMtHX,1000,09162000,31001_9998,3100,4,19.405,195.789
DEBY_LOD2_4958698,DEBYvAAAAABTMtLS,1000,09162000,31001_9998,3100,3,15.308,165.940
DEBY_LOD2_4958699,DEBYvAAAAABTMtLC,1000,09162000,31001_9998,3100,4,19.038,178.133
DEBY_LOD2_4958700,DEBYvAAAAABTMtL1,1000,09162000,31001_9998,1000,2,8.886,393.537
DEBY_LOD2_4958701,DEBYvAAAAABTMtR9,1000,09162000,31001_9998,3100,5,19.677,257.437
DEBY_LOD2_4958702,DEBYvAAAAABTMtSF,1000,09162000,31001_1000,3100,3,15.559,381.363
DEBY_LOD2_4958703,DEBYvAAAAABTMtUp,1000,09162000,31001_1000,3100,4,20.605,205.585
DEBY_LOD2_4958704,DEBYvAAAAABTMtUA,1000,09162000,31001_3000,9999,7,25.255,583.907
DEBY_LOD2_4958705,DEBYvAAAAABTMtFe,1000,09162000,31001_9998,1000,3,20.675,331.189
DEBY_LOD2_4958706,DEBYvAAAAABTMtFt,1000,09162000,31001_9998,2100,4,28.11,592.237
DEBY_LOD2_4958707,DEBYvAAAAABTMtEr,1000,09162000,31001_9998,2100,3,23.971,573.454
DEBY_LOD2_4958708,DEBYvAAAAABTMtZF,1000,09162000,31001_9998,1000,2,7.322,202.686
DEBY_LOD2_4958709,DEBYvAAAAABTMtFX,1000,09162000,31001_9998,1000,2,8.291,205.711
DEBY_LOD2_4958710,DEBYvAAAAABTMtYn,1000,09162000,31001_9998,1000,2,14.981,619.133
DEBY_LOD2_4958711,DEBYvAAAAABTMtY9,1000,09162000,31001_9998,3100,3,23.79,263.201
DEBY_LOD2_4958712,DEBYvAAAAABTMtZM,1000,09162000,31001_9998,1000,1,13.278,26.487
DEBY_LOD2_4958713,DEBYvAAAAABTMtZk,1000,09162000,31001_9998,1000,1,11.608,43.786
DEBY_LOD2_4958714,DEBYvAAAAABTMtZ9,1000,09162000,31001_9998,3100,4,29.941,1568.347
DEBY_LOD2_4958715,DEBYvAAAAABTMtaZ,1000,09162000,31001_3000,3100,4,24.515,824.038
DEBY_LOD2_4958716,DEBYvAAAAABTMtcP,1000,09162000,31001_3000,3100,4,24.85,755.257
DEBY_LOD2_4958717,DEBYvAAAAABTMtcI,1000,09162000,31001_1000,3100,5,20.421,221.244
DEBY_LOD2_4958718,DEBYvAAAAABTMtdM,1000,09162000,31001_1000,1000,,5.697,151.533
DEBY_LOD2_4958719,DEBYvAAAAABTMteA,1000,09162000,31001_1000,3100,5,20.465,217.736
DEBY_LOD2_4958720,DEBYvAAAAABTMtbg,1000,09162000,31001_1000,3100,5,20.549,249.241
DEBY_LOD2_4958721,DEBYvAAAAABTMtb9,1000,09162000,31001_1000,3100,5,20.38,216.858
DEBY_LOD2_4958722,DEBYvAAAAABTMjth,1000,09162000,31001_9998,2100,5,24.098,434.472
DEBY_LOD2_4958723,DEBYvAAAAABTMjz9,1000,09162000,31001_9998,3100,5,21.44,189.181
DEBY_LOD2_4958724,DEBYvAAAAABTMjw6,1000,09162000,31001_9998,3100,5,23.191,341.783
DEBY_LOD2_4958725,DEBYvAAAAABTMkxB,1000,09162000,31001_9998,3100,5,21.83,349.514
DEBY_LOD2_4958726,DEBYvAAAAABTMku9,1000,09162000,31001_1000,3100,3,17.404,174.419
DEBY_LOD2_4958727,DEBYvAAAAABTMksR,1000,09162000,31001_1000,3100,5,21.893,174.101
DEBY_LOD2_4958728,DEBYvAAAAABTMksY,1000,09162000,31001_9998,1000,2,7.802,134.844
DEBY_LOD2_4958729,DEBYvAAAAABTMks7,1000,09162000,31001_9998,3100,6,22.746,189.819
DEBY_LOD2_4958731,DEBYvAAAAABTMk5f,1000,09162000,31001_1000,3100,6,22.754,156.755
DEBY_LOD2_4958732,DEBYvAAAAABTMk6N,1000,09162000,31001_9998,9999,,7.207,388.339
